State.Population.Increase.Area.Density
Maharashtra,112374333,15.99%,307713,365
Bihar,104099452,25.42%,94163,"1106"
West Bengal,91276111,13.84%,88752,1028
Andhra Pradesh,84580777,10.98%,275045,308
Madhya Pradesh,72626809,20.35%,308252,236
Tamil Nadu,72147030,15.61%,130060,555
Rajasthan,68548437,21.31%,342239",200
Karnataka,61095297,15.60%,191871,319
Gujarat,60439692,19.28%,96244,308
Orissa,41974218,14.05%,155707,270
Kerala,33406061,4.91%,38852,860
Jharkhand,32988134,22.42%,79716,414
Assam,31205576,17.07%,78438,398
Punjab,27743338,13.89%,50346,551
Chhattisgarh,25545198,22.61%,135192,189
Haryana,2251462,19.90%,44212,573
Delhi,16787941,21.21%,"1483",11320
Jammu and Kashmir,12541302,23.64%,222236,56
Uttarakhand,10086292,18.81%,53483,189
Himachal Pradesh,6864602,12.94%,55678,123
Tripura,3673917,14.84%,10486,350
Meghalaya,2966889,27.95%,22429",132
Manipur,2855794,24.50%,22327,128
Nagaland,1978502,-0.58%,16579,119
Goa,1458545,8.23%,3702,394
Arunachal Pradesh,1383727,26.03%,83743,17
Puducherry,1247953,28.08%,490,2547
Mizoram,107207,23.48%,21081,52
